Team,Phase,Season,Venue,Opponent,Match Result,Player,Role,Runs Scored,Balls Faced,Strike Rate,Economy Rate,Wickets Taken,Dot Ball Percentage,Performance vs Team,Bowling Economy vs Team,Rolling Strike Rate,Rolling Economy Rate,Consistency Score
Kings XI Punjab,Middle Overs,2017,"Punjab Cricket Association IS Bindra Stadium, Mohali",Sunrisers Hyderabad,Loss,AR Patel,Bowler,,,,8.5,0,8.33,,8.5,,6.958,74.95497185
Kings XI Punjab,Middle Overs,2017,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Loss,AR Patel,Bowler,,,,6.95,2,36.84,,6.95,,7.148,74.95497185
Kings XI Punjab,Middle Overs,2017,Saurashtra Cricket Association Stadium,Gujarat Lions,Win,AR Patel,Bowler,,,,9,2,29.17,,9,,8.024,74.95497185
Kings XI Punjab,Middle Overs,2017,Wankhede Stadium,Mumbai Indians,Win,AR Patel,Bowler,,,,9.33,1,33.33,,9.33,,7.956,74.95497185
Kings XI Punjab,Middle Overs,2018,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Win,AR Patel,Bowler,,,,5,0,44.44,,5,,7.756,74.95497185
Kings XI Punjab,Middle Overs,2018,Punjab Cricket Association IS Bindra Stadium,Delhi Daredevils,Loss,AR Patel,Bowler,,,,9,1,25,,9,,7.856,74.95497185
Kings XI Punjab,Middle Overs,2018,Holkar Cricket Stadium,Kolkata Knight Riders,Loss,AR Patel,Bowler,,,,12.24,0,20,,12.24,,8.914,74.95497185
Kings XI Punjab,Middle Overs,2018,Holkar Cricket Stadium,Mumbai Indians,Win,AR Patel,Bowler,,,,9,0,16.67,,9,,8.914,74.95497185
Kings XI Punjab,Middle Overs,2018,Holkar Cricket Stadium,Rajasthan Royals,Loss,AR Patel,Bowler,,,,9,0,0,,9,,8.848,74.95497185
Kings XI Punjab,Middle Overs,2018,Maharashtra Cricket Association Stadium,Chennai Super Kings,Win,AR Patel,Bowler,,,,7,0,29.17,,7,,9.248,74.95497185
Kings XI Punjab,Middle Overs,2018,Sawai Mansingh Stadium,Rajasthan Royals,Loss,AR Patel,Bowler,,,,5,0,58.33,,5,,8.448,74.95497185
Kings XI Punjab,Middle Overs,2018,Wankhede Stadium,Mumbai Indians,Loss,AR Patel,Bowler,,,,7.26,0,15.79,,7.26,,7.452,74.95497185
Kings XI Punjab,Middle Overs,2019,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Loss,Arshdeep Singh,Bowler,,,,13,0,0,,13,,8.124,59.69181581
Kings XI Punjab,Middle Overs,2020/21,Dubai International Cricket Stadium,Sunrisers Hyderabad,Loss,Arshdeep Singh,Bowler,,,,5.2,0,33.33,,5.2,,7.594,59.69181581
Kings XI Punjab,Middle Overs,2020/21,Dubai International Cricket Stadium,Sunrisers Hyderabad,Win,Arshdeep Singh,Bowler,,,,8,0,16.67,,8,,7.44,59.69181581
Kings XI Punjab,Middle Overs,2020/21,Sheikh Zayed Stadium,Kolkata Knight Riders,Loss,Arshdeep Singh,Bowler,,,,14,0,33.33,,14,,10.04,59.69181581
Kings XI Punjab,Middle Overs,2020/21,Sheikh Zayed Stadium,Rajasthan Royals,Win,Arshdeep Singh,Bowler,,,,14,0,0,,14,,10.84,59.69181581
Kings XI Punjab,Middle Overs,2020/21,Dubai International Cricket Stadium,Chennai Super Kings,Win,CJ Jordan,Bowler,,,,11,0,16.67,,11,83.33,9,58.64924702
Kings XI Punjab,Middle Overs,2020/21,Dubai International Cricket Stadium,Delhi Capitals,Win,CJ Jordan,Bowler,,,,3.43,0,42.86,,3.43,83.33,8.81,58.64924702
Kings XI Punjab,Middle Overs,2020/21,Dubai International Cricket Stadium,Mumbai Indians,Loss,CJ Jordan,Bowler,,,,7,0,66.67,,7,83.33,7.143333333,58.64924702
Kings XI Punjab,Middle Overs,2020/21,Dubai International Cricket Stadium,Sunrisers Hyderabad,Win,CJ Jordan,Bowler,,,,2.31,0,61.54,,2.31,33.33,5.935,58.64924702
Kings XI Punjab,Middle Overs,2020/21,Sharjah Cricket Stadium,Kolkata Knight Riders,Loss,CJ Jordan,Bowler,,,,3.86,1,64.29,,3.86,,5.52,58.64924702
Kings XI Punjab,Middle Overs,2020/21,Sharjah Cricket Stadium,Royal Challengers Bangalore,Loss,CJ Jordan,Bowler,,,,3.43,1,42.86,,3.43,,4.006,58.64924702
Kings XI Punjab,Middle Overs,2020/21,Sheikh Zayed Stadium,Chennai Super Kings,Win,CJ Jordan,Bowler,,,,12,1,16.67,,12,,5.72,58.64924702
Kings XI Punjab,Middle Overs,2020/21,Sheikh Zayed Stadium,Kolkata Knight Riders,Loss,CJ Jordan,Bowler,,,,7,0,16.67,,7,,5.72,58.64924702
Kings XI Punjab,Middle Overs,2020/21,Sheikh Zayed Stadium,Rajasthan Royals,Win,CJ Jordan,Bowler,,,,10.5,0,33.33,,10.5,,7.358,58.64924702
Kings XI Punjab,Middle Overs,2019,Eden Gardens,Kolkata Knight Riders,Loss,CV Varun,Bowler,,,,5,1,66.67,,5,,11.8,42.76933828
Kings XI Punjab,Middle Overs,2020/21,Dubai International Cricket Stadium,Mumbai Indians,Loss,DJ Hooda,Bowler,,,,9,0,33.33,,9,100.415,9,74.22680513
Kings XI Punjab,Middle Overs,2014,Barabati Stadium,Chennai Super Kings,Win,GJ Maxwell,Bowler,,,,9.23,1,23.08,,9.23,71.845,9.23,85.40498545
Kings XI Punjab,Middle Overs,2014,Barabati Stadium,Kolkata Knight Riders,Win,GJ Maxwell,Bowler,,,,8.57,0,28.57,,8.57,68.01666667,8.9,85.40498545
Kings XI Punjab,Middle Overs,2014,Dubai International Cricket Stadium,Royal Challengers Bangalore,Loss,GJ Maxwell,Bowler,,,,9.5,0,25,,9.5,55.87,9.1,85.40498545
Kings XI Punjab,Middle Overs,2014,M Chinnaswamy Stadium,Royal Challengers Bangalore,Win,GJ Maxwell,Bowler,,,,15.75,0,25,,15.75,57.89,10.7625,85.40498545
Kings XI Punjab,Middle Overs,2014,Sharjah Cricket Stadium,Sunrisers Hyderabad,Win,GJ Maxwell,Bowler,,,,10,0,16.67,,10,,10.61,85.40498545
Kings XI Punjab,Middle Overs,2014,Sheikh Zayed Stadium,Chennai Super Kings,Loss,GJ Maxwell,Bowler,,,,11.5,0,25,,11.5,,11.064,85.40498545
Kings XI Punjab,Middle Overs,2014,Wankhede Stadium,Chennai Super Kings,Win,GJ Maxwell,Bowler,,,,4,0,50,,4,,10.15,85.40498545
Kings XI Punjab,Middle Overs,2015,Eden Gardens,Kolkata Knight Riders,Win,GJ Maxwell,Bowler,,,,5,1,16.67,,5,,9.25,85.40498545
Kings XI Punjab,Middle Overs,2015,M Chinnaswamy Stadium,Royal Challengers Bangalore,Loss,GJ Maxwell,Bowler,,,,10.15,0,30.77,,10.15,,8.13,85.40498545
Kings XI Punjab,Middle Overs,2015,Maharashtra Cricket Association Stadium,Delhi Daredevils,Win,GJ Maxwell,Bowler,,,,10,0,16.67,,10,,8.13,85.40498545
Kings XI Punjab,Middle Overs,2015,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Win,GJ Maxwell,Bowler,,,,5.14,0,57.14,,5.14,,6.858,85.40498545
Kings XI Punjab,Middle Overs,2015,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,Loss,GJ Maxwell,Bowler,,,,8,0,50,,8,,7.658,85.40498545
Kings XI Punjab,Middle Overs,2015,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Loss,GJ Maxwell,Bowler,,,,8.53,1,42.11,,8.53,,8.364,85.40498545
Kings XI Punjab,Middle Overs,2015,"Sardar Patel Stadium, Motera",Rajasthan Royals,Win,GJ Maxwell,Bowler,,,,15,0,16.67,,15,,9.334,85.40498545
Kings XI Punjab,Middle Overs,2016,Eden Gardens,Kolkata Knight Riders,Loss,GJ Maxwell,Bowler,,,,11,0,16.67,,11,,9.534,85.40498545
Kings XI Punjab,Middle Overs,2016,Feroz Shah Kotla,Delhi Daredevils,Win,GJ Maxwell,Bowler,,,,7.71,0,57.14,,7.71,,10.048,85.40498545
Kings XI Punjab,Middle Overs,2016,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kolkata Knight Riders,Win,GJ Maxwell,Bowler,,,,8.5,0,25,,8.5,,10.148,85.40498545
Kings XI Punjab,Middle Overs,2016,"Punjab Cricket Association IS Bindra Stadium, Mohali",Mumbai Indians,Loss,GJ Maxwell,Bowler,,,,11,0,16.67,,11,,10.642,85.40498545
Kings XI Punjab,Middle Overs,2016,"Punjab Cricket Association IS Bindra Stadium, Mohali",Rising Pune Supergiants,Loss,GJ Maxwell,Bowler,,,,3,0,50,,3,,8.242,85.40498545
Kings XI Punjab,Middle Overs,2016,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Win,GJ Maxwell,Bowler,,,,5,0,16.67,,5,,7.042,85.40498545
Kings XI Punjab,Middle Overs,2017,Feroz Shah Kotla,Delhi Daredevils,Loss,GJ Maxwell,Bowler,,,,7,0,33.33,,7,,6.9,85.40498545
Kings XI Punjab,Middle Overs,2017,M Chinnaswamy Stadium,Royal Challengers Bangalore,Win,GJ Maxwell,Bowler,,,,4.42,2,31.58,,4.42,,6.084,85.40498545
Kings XI Punjab,Middle Overs,2017,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Win,GJ Maxwell,Bowler,,,,7.5,0,25,,7.5,,5.384,85.40498545
Kings XI Punjab,Middle Overs,2017,"Punjab Cricket Association IS Bindra Stadium, Mohali",Delhi Daredevils,Loss,GJ Maxwell,Bowler,,,,3,1,62.5,,3,,5.384,85.40498545
Kings XI Punjab,Middle Overs,2017,"Punjab Cricket Association IS Bindra Stadium, Mohali",Gujarat Lions,Win,GJ Maxwell,Bowler,,,,10.5,1,25,,10.5,,6.484,85.40498545
Kings XI Punjab,Middle Overs,2017,"Punjab Cricket Association IS Bindra Stadium, Mohali",Sunrisers Hyderabad,Loss,GJ Maxwell,Bowler,,,,8,1,22.22,,8,,6.684,85.40498545
Kings XI Punjab,Middle Overs,2017,Wankhede Stadium,Mumbai Indians,Win,GJ Maxwell,Bowler,,,,4,1,41.67,,4,,6.6,85.40498545
Kings XI Punjab,Middle Overs,2020/21,Dubai International Cricket Stadium,Delhi Capitals,Loss,GJ Maxwell,Bowler,,,,6,1,16.67,,6,,6.3,85.40498545
Kings XI Punjab,Middle Overs,2020/21,Dubai International Cricket Stadium,Mumbai Indians,Loss,GJ Maxwell,Bowler,,,,5,0,41.67,,5,,6.7,85.40498545
Kings XI Punjab,Middle Overs,2020/21,Dubai International Cricket Stadium,Royal Challengers Bangalore,Win,GJ Maxwell,Bowler,,,,5,1,41.67,,5,,5.6,85.40498545
Kings XI Punjab,Middle Overs,2020/21,Dubai International Cricket Stadium,Sunrisers Hyderabad,Loss,GJ Maxwell,Bowler,,,,13,0,16.67,,13,,6.6,85.40498545
Kings XI Punjab,Middle Overs,2020/21,Sharjah Cricket Stadium,Kolkata Knight Riders,Loss,GJ Maxwell,Bowler,,,,12,0,33.33,,12,,8.2,85.40498545
Kings XI Punjab,Middle Overs,2020/21,Sharjah Cricket Stadium,Rajasthan Royals,Win,GJ Maxwell,Bowler,,,,9.67,0,33.33,,9.67,,8.934,85.40498545
Kings XI Punjab,Middle Overs,2020/21,Sharjah Cricket Stadium,Royal Challengers Bangalore,Loss,GJ Maxwell,Bowler,,,,6.67,0,16.67,,6.67,,9.268,85.40498545
Kings XI Punjab,Middle Overs,2019,Arun Jaitley Stadium,Delhi Capitals,Win,Harpreet Brar,Bowler,,,,7,0,0,,7,,9.5,63.10203785
Kings XI Punjab,Middle Overs,2019,Punjab Cricket Association IS Bindra Stadium,Chennai Super Kings,Loss,Harpreet Brar,Bowler,,,,8.5,0,41.67,,8.5,,9.3,63.10203785
Kings XI Punjab,Middle Overs,2020/21,Dubai International Cricket Stadium,Chennai Super Kings,Win,Harpreet Brar,Bowler,,,,10.42,0,26.32,,10.42,,7.984,63.10203785
Kings XI Punjab,Middle Overs,2017,Holkar Cricket Stadium,Mumbai Indians,Win,I Sharma,Bowler,,,,16,0,8.33,,16,20,8.925,130.0851431
Kings XI Punjab,Middle Overs,2017,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Loss,I Sharma,Bowler,,,,8.57,0,28.57,,8.57,20,9.3175,130.0851431
Kings XI Punjab,Middle Overs,2017,Wankhede Stadium,Mumbai Indians,Win,I Sharma,Bowler,,,,6.86,0,57.14,,6.86,20,10.3575,130.0851431
Kings XI Punjab,Middle Overs,2020/21,Dubai International Cricket Stadium,Delhi Capitals,Loss,JDS Neesham,Bowler,,,,10,0,0,,10,100,9.48,47.30041508
Kings XI Punjab,Middle Overs,2020/21,Dubai International Cricket Stadium,Royal Challengers Bangalore,Win,JDS Neesham,Bowler,,,,5.54,0,46.15,,5.54,100,9.115,47.30041508
Kings XI Punjab,Middle Overs,2020/21,Sharjah Cricket Stadium,Rajasthan Royals,Win,JDS Neesham,Bowler,,,,8.67,1,16.67,,8.67,100,7.7825,47.30041508
Kings XI Punjab,Middle Overs,2020/21,Sheikh Zayed Stadium,Chennai Super Kings,Win,JDS Neesham,Bowler,,,,10,0,33.33,,10,100,8.5525,47.30041508
Kings XI Punjab,Middle Overs,2020/21,Sheikh Zayed Stadium,Mumbai Indians,Loss,JDS Neesham,Bowler,,,,10.42,0,26.32,,10.42,,8.926,47.30041508
Kings XI Punjab,Middle Overs,2020/21,Dubai International Cricket Stadium,Delhi Capitals,Win,K Gowtham,Bowler,,,,9.75,0,20.83,,9.75,142.86,10.875,129.5011687
Kings XI Punjab,Middle Overs,2020/21,Sheikh Zayed Stadium,Mumbai Indians,Loss,K Gowtham,Bowler,,,,4,1,33.33,,4,142.86,8.583333333,129.5011687
Kings XI Punjab,Middle Overs,2019,MA Chidambaram Stadium,Chennai Super Kings,Loss,M Ashwin,Bowler,,,,5.28,0,36,,5.28,,8.256,74.81474884
Kings XI Punjab,Middle Overs,2019,Punjab Cricket Association IS Bindra Stadium,Delhi Capitals,Win,M Ashwin,Bowler,,,,9.5,0,25,,9.5,,9.256,74.81474884
Kings XI Punjab,Middle Overs,2019,Punjab Cricket Association IS Bindra Stadium,Mumbai Indians,Loss,M Ashwin,Bowler,,,,6.25,2,45.83,,6.25,,8.706,74.81474884
Kings XI Punjab,Middle Overs,2019,Punjab Cricket Association IS Bindra Stadium,Rajasthan Royals,Win,M Ashwin,Bowler,,,,6,0,22.22,,6,,8.606,74.81474884
Kings XI Punjab,Middle Overs,2019,Punjab Cricket Association IS Bindra Stadium,Royal Challengers Bangalore,Win,M Ashwin,Bowler,,,,5,0,38.89,,5,,6.406,74.81474884
Kings XI Punjab,Middle Overs,2019,Arun Jaitley Stadium,Delhi Capitals,Win,M Ashwin,Bowler,,,,4.57,0,42.86,,4.57,,6.264,74.81474884
Kings XI Punjab,Middle Overs,2019,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Loss,M Ashwin,Bowler,,,,7.75,1,29.17,,7.75,,5.914,74.81474884
Kings XI Punjab,Middle Overs,2019,Punjab Cricket Association IS Bindra Stadium,Chennai Super Kings,Loss,M Ashwin,Bowler,,,,11,0,16.67,,11,,6.864,74.81474884
Kings XI Punjab,Middle Overs,2019,Punjab Cricket Association IS Bindra Stadium,Kolkata Knight Riders,Win,M Ashwin,Bowler,,,,12,0,0,,12,,8.064,74.81474884
Kings XI Punjab,Middle Overs,2019,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Loss,M Ashwin,Bowler,,,,6.92,1,26.92,,6.92,,8.448,74.81474884
Kings XI Punjab,Middle Overs,2020/21,Dubai International Cricket Stadium,Delhi Capitals,Loss,M Ashwin,Bowler,,,,6.67,1,27.78,,6.67,,8.868,74.81474884
Kings XI Punjab,Middle Overs,2020/21,Dubai International Cricket Stadium,Mumbai Indians,Loss,M Ashwin,Bowler,,,,9.33,0,38.89,,9.33,,9.184,74.81474884
Kings XI Punjab,Middle Overs,2020/21,Dubai International Cricket Stadium,Royal Challengers Bangalore,Win,M Ashwin,Bowler,,,,7,1,50,,7,,8.384,74.81474884
Kings XI Punjab,Middle Overs,2020/21,Dubai International Cricket Stadium,Sunrisers Hyderabad,Win,M Ashwin,Bowler,,,,7,1,33.33,,7,,7.384,74.81474884
Kings XI Punjab,Middle Overs,2020/21,Sharjah Cricket Stadium,Kolkata Knight Riders,Loss,M Ashwin,Bowler,,,,5.67,1,61.11,,5.67,,7.134,74.81474884
Kings XI Punjab,Middle Overs,2020/21,Sharjah Cricket Stadium,Rajasthan Royals,Win,M Ashwin,Bowler,,,,12,0,0,,12,,8.2,74.81474884
Kings XI Punjab,Middle Overs,2020/21,Sharjah Cricket Stadium,Royal Challengers Bangalore,Loss,M Ashwin,Bowler,,,,5.67,2,33.33,,5.67,,7.468,74.81474884
Kings XI Punjab,Middle Overs,2020/21,Sheikh Zayed Stadium,Chennai Super Kings,Win,M Ashwin,Bowler,,,,4.25,0,33.33,,4.25,,6.918,74.81474884
Kings XI Punjab,Middle Overs,2020/21,Sheikh Zayed Stadium,Rajasthan Royals,Win,M Ashwin,Bowler,,,,9,1,22.22,,9,,7.318,74.81474884
Kings XI Punjab,Middle Overs,2016,Feroz Shah Kotla,Delhi Daredevils,Win,MM Sharma,Bowler,,,,5.14,0,57.14,,5.14,106.6675,5.14,72.40023828
Kings XI Punjab,Middle Overs,2016,M Chinnaswamy Stadium,Royal Challengers Bangalore,Loss,MM Sharma,Bowler,,,,13.5,0,8.33,,13.5,103.3333333,9.32,72.40023828
Kings XI Punjab,Middle Overs,2016,"Punjab Cricket Association IS Bindra Stadium, Mohali",Delhi Daredevils,Win,MM Sharma,Bowler,,,,4,0,50,,4,130,7.546666667,72.40023828
Kings XI Punjab,Middle Overs,2016,"Punjab Cricket Association IS Bindra Stadium, Mohali",Gujarat Lions,Win,MM Sharma,Bowler,,,,4,0,50,,4,60,6.66,72.40023828
Kings XI Punjab,Middle Overs,2016,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kolkata Knight Riders,Win,MM Sharma,Bowler,,,,7,0,41.67,,7,,6.728,72.40023828
Kings XI Punjab,Middle Overs,2016,"Punjab Cricket Association IS Bindra Stadium, Mohali",Mumbai Indians,Loss,MM Sharma,Bowler,,,,9,0,21.43,,9,,7.5,72.40023828
Kings XI Punjab,Middle Overs,2016,"Punjab Cricket Association IS Bindra Stadium, Mohali",Rising Pune Supergiants,Loss,MM Sharma,Bowler,,,,6,0,25,,6,,6,72.40023828
Kings XI Punjab,Middle Overs,2016,"Punjab Cricket Association IS Bindra Stadium, Mohali",Sunrisers Hyderabad,Win,MM Sharma,Bowler,,,,9,0,0,,9,,7,72.40023828
Kings XI Punjab,Middle Overs,2016,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Win,MM Sharma,Bowler,,,,1.71,0,71.43,,1.71,,6.542,72.40023828
Kings XI Punjab,Middle Overs,2016,Saurashtra Cricket Association Stadium,Gujarat Lions,Win,MM Sharma,Bowler,,,,12,0,0,,12,,7.542,72.40023828
Kings XI Punjab,Middle Overs,2017,Eden Gardens,Kolkata Knight Riders,Win,MM Sharma,Bowler,,,,10,0,16.67,,10,,7.742,72.40023828
Kings XI Punjab,Middle Overs,2017,Feroz Shah Kotla,Delhi Daredevils,Loss,MM Sharma,Bowler,,,,7,1,33.33,,7,,7.942,72.40023828
Kings XI Punjab,Middle Overs,2017,Holkar Cricket Stadium,Mumbai Indians,Win,MM Sharma,Bowler,,,,6.6,1,50,,6.6,,7.462,72.40023828
Kings XI Punjab,Middle Overs,2017,Holkar Cricket Stadium,Royal Challengers Bangalore,Loss,MM Sharma,Bowler,,,,3,0,66.67,,3,,7.72,72.40023828
Kings XI Punjab,Middle Overs,2017,M Chinnaswamy Stadium,Royal Challengers Bangalore,Win,MM Sharma,Bowler,,,,7.5,1,41.67,,7.5,,6.82,72.40023828
Kings XI Punjab,Middle Overs,2017,"Punjab Cricket Association IS Bindra Stadium, Mohali",Gujarat Lions,Win,MM Sharma,Bowler,,,,8,0,8.33,,8,,6.42,72.40023828
Kings XI Punjab,Middle Overs,2017,"Punjab Cricket Association IS Bindra Stadium, Mohali",Sunrisers Hyderabad,Loss,MM Sharma,Bowler,,,,12,1,16.67,,12,,7.42,72.40023828
Kings XI Punjab,Middle Overs,2017,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Loss,MM Sharma,Bowler,,,,2,0,66.67,,2,,6.5,72.40023828
Kings XI Punjab,Middle Overs,2017,Saurashtra Cricket Association Stadium,Gujarat Lions,Win,MM Sharma,Bowler,,,,6,0,16.67,,6,,7.1,72.40023828
Kings XI Punjab,Middle Overs,2017,Wankhede Stadium,Mumbai Indians,Win,MM Sharma,Bowler,,,,17,1,16.67,,17,,9,72.40023828
Kings XI Punjab,Middle Overs,2018,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Win,MM Sharma,Bowler,,,,12.5,0,16.67,,12.5,,9.9,72.40023828
Kings XI Punjab,Middle Overs,2018,Punjab Cricket Association IS Bindra Stadium,Delhi Daredevils,Loss,MM Sharma,Bowler,,,,7,1,33.33,,7,,8.9,72.40023828
Kings XI Punjab,Middle Overs,2018,Punjab Cricket Association IS Bindra Stadium,Sunrisers Hyderabad,Win,MM Sharma,Bowler,,,,14,0,0,,14,,11.3,72.40023828
Kings XI Punjab,Middle Overs,2018,Holkar Cricket Stadium,Kolkata Knight Riders,Loss,MM Sharma,Bowler,,,,10,0,16.67,,10,,12.1,72.40023828
Kings XI Punjab,Middle Overs,2016,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Mumbai Indians,Loss,MP Stoinis,Bowler,,,,2.67,2,55.56,,2.67,97.025,2.67,69.20160499
Kings XI Punjab,Middle Overs,2016,Eden Gardens,Kolkata Knight Riders,Loss,MP Stoinis,Bowler,,,,9,0,0,,9,79.36666667,5.835,69.20160499
Kings XI Punjab,Middle Overs,2016,"Punjab Cricket Association IS Bindra Stadium, Mohali",Delhi Daredevils,Win,MP Stoinis,Bowler,,,,11.08,2,30.77,,11.08,60.715,7.583333333,69.20160499
Kings XI Punjab,Middle Overs,2016,"Punjab Cricket Association IS Bindra Stadium, Mohali",Gujarat Lions,Win,MP Stoinis,Bowler,,,,15,0,0,,15,71.43,9.4375,69.20160499
Kings XI Punjab,Middle Overs,2016,"Punjab Cricket Association IS Bindra Stadium, Mohali",Royal Challengers Bangalore,Loss,MP Stoinis,Bowler,,,,7.5,0,16.67,,7.5,,9.05,69.20160499
Kings XI Punjab,Middle Overs,2016,"Punjab Cricket Association IS Bindra Stadium, Mohali",Sunrisers Hyderabad,Win,MP Stoinis,Bowler,,,,6.46,0,38.46,,6.46,,9.808,69.20160499
Kings XI Punjab,Middle Overs,2016,Saurashtra Cricket Association Stadium,Gujarat Lions,Win,MP Stoinis,Bowler,,,,4,1,33.33,,4,,8.808,69.20160499
Kings XI Punjab,Middle Overs,2017,Eden Gardens,Kolkata Knight Riders,Win,MP Stoinis,Bowler,,,,7,0,33.33,,7,,7.992,69.20160499
Kings XI Punjab,Middle Overs,2017,Holkar Cricket Stadium,Mumbai Indians,Win,MP Stoinis,Bowler,,,,14,0,0,,14,,7.792,69.20160499
Kings XI Punjab,Middle Overs,2017,Holkar Cricket Stadium,Rising Pune Supergiant,Loss,MP Stoinis,Bowler,,,,7.14,1,38.1,,7.14,,7.72,69.20160499
Kings XI Punjab,Middle Overs,2017,Holkar Cricket Stadium,Royal Challengers Bangalore,Loss,MP Stoinis,Bowler,,,,6,0,8.33,,6,,7.628,69.20160499
Kings XI Punjab,Middle Overs,2017,Saurashtra Cricket Association Stadium,Gujarat Lions,Win,MP Stoinis,Bowler,,,,9.43,0,14.29,,9.43,,8.714,69.20160499
Kings XI Punjab,Middle Overs,2018,Punjab Cricket Association IS Bindra Stadium,Delhi Daredevils,Loss,MP Stoinis,Bowler,,,,7,0,0,,7,,8.714,69.20160499
Kings XI Punjab,Middle Overs,2018,Holkar Cricket Stadium,Mumbai Indians,Win,MP Stoinis,Bowler,,,,8.5,1,50,,8.5,,7.614,69.20160499
Kings XI Punjab,Middle Overs,2018,Holkar Cricket Stadium,Rajasthan Royals,Loss,MP Stoinis,Bowler,,,,6,0,16.67,,6,,7.386,69.20160499
Kings XI Punjab,Middle Overs,2018,Holkar Cricket Stadium,Royal Challengers Bangalore,Win,MP Stoinis,Bowler,,,,12,0,16.67,,12,,8.586,69.20160499
Kings XI Punjab,Middle Overs,2018,Sawai Mansingh Stadium,Rajasthan Royals,Loss,MP Stoinis,Bowler,,,,4,1,33.33,,4,,7.5,69.20160499
Kings XI Punjab,Middle Overs,2018,Wankhede Stadium,Mumbai Indians,Loss,MP Stoinis,Bowler,,,,14.33,1,16.67,,14.33,,8.966,69.20160499
Kings XI Punjab,Middle Overs,2019,Eden Gardens,Kolkata Knight Riders,Loss,Mandeep Singh,Bowler,,,,18,0,16.67,,18,118.4525,18,72.66940007
Kings XI Punjab,Middle Overs,2019,Punjab Cricket Association IS Bindra Stadium,Rajasthan Royals,Win,Mandeep Singh,Bowler,,,,8,0,0,,8,101.6866667,13,72.66940007
Kings XI Punjab,Middle Overs,2019,MA Chidambaram Stadium,Chennai Super Kings,Loss,Mohammed Shami,Bowler,,,,7,0,33.33,,7,0,7.375,65.7923381
Kings XI Punjab,Middle Overs,2019,Punjab Cricket Association IS Bindra Stadium,Mumbai Indians,Loss,Mohammed Shami,Bowler,,,,9.23,1,30.77,,9.23,0,8.1825,65.7923381
Kings XI Punjab,Middle Overs,2019,Punjab Cricket Association IS Bindra Stadium,Rajasthan Royals,Win,Mohammed Shami,Bowler,,,,11.5,0,16.67,,11.5,0,9.0575,65.7923381
Kings XI Punjab,Middle Overs,2019,Punjab Cricket Association IS Bindra Stadium,Royal Challengers Bangalore,Win,Mohammed Shami,Bowler,,,,4,1,33.33,,4,0,7.9325,65.7923381
Kings XI Punjab,Middle Overs,2019,Sawai Mansingh Stadium,Rajasthan Royals,Win,Mohammed Shami,Bowler,,,,11,0,0,,11,,8.546,65.7923381
Kings XI Punjab,Middle Overs,2019,Wankhede Stadium,Mumbai Indians,Win,Mohammed Shami,Bowler,,,,4.5,2,62.5,,4.5,,8.046,65.7923381
Kings XI Punjab,Middle Overs,2019,Punjab Cricket Association IS Bindra Stadium,Kolkata Knight Riders,Win,Mohammed Shami,Bowler,,,,5,1,66.67,,5,,7.2,65.7923381
Kings XI Punjab,Middle Overs,2019,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Loss,Mohammed Shami,Bowler,,,,10,0,16.67,,10,,6.9,65.7923381
Kings XI Punjab,Middle Overs,2020/21,Dubai International Cricket Stadium,Chennai Super Kings,Win,Mohammed Shami,Bowler,,,,6,0,16.67,,6,,7.3,65.7923381
Kings XI Punjab,Middle Overs,2020/21,Dubai International Cricket Stadium,Delhi Capitals,Win,Mohammed Shami,Bowler,,,,3.75,1,50,,3.75,,5.85,65.7923381
Kings XI Punjab,Middle Overs,2020/21,Dubai International Cricket Stadium,Mumbai Indians,Loss,Mohammed Shami,Bowler,,,,3,1,50,,3,,5.55,65.7923381
Kings XI Punjab,Middle Overs,2020/21,Dubai International Cricket Stadium,Royal Challengers Bangalore,Win,Mohammed Shami,Bowler,,,,7,0,33.33,,7,,5.95,65.7923381
Kings XI Punjab,Middle Overs,2020/21,Dubai International Cricket Stadium,Sunrisers Hyderabad,Loss,Mohammed Shami,Bowler,,,,8,0,33.33,,8,,5.55,65.7923381
Kings XI Punjab,Middle Overs,2020/21,Dubai International Cricket Stadium,Sunrisers Hyderabad,Win,Mohammed Shami,Bowler,,,,6,1,50,,6,,5.55,65.7923381
